       t        x        y
     661 0.940155 0.423468
     662 0.940062 -0.423646
     663 0.184577 -0.982867
     664 -0.729768 -0.700470
     665 -1.040040 0.111225
     666 -0.529171 0.852321
     667 0.428659 0.905013
     668 1.021715 0.209303
     669 0.805341 -0.621073
     670 -0.071298 -0.997456
     671 -0.886440 -0.514149
     672 -0.983218 0.329688
     673 -0.295676 0.955621
     674 0.645329 0.773178
     675 1.047111 -0.012217
     676 0.623276 -0.789899
     677 -0.322519 -0.947037
     678 -0.992188 -0.306134
     679 -0.871626 0.535879
     680 -0.043130 0.999070
     681 0.822576 0.600559
     682 1.015470 -0.233326
     683 0.402961 -0.916410
     684 -0.553016 -0.837788
     685 -1.042835 -0.086871
     686 -0.709741 0.719070
     687 0.212233 0.977306
     688 0.951693 0.400763
     689 0.927887 -0.446154
     690 0.156994 -0.987625
     691 -0.749114 -0.681605
     692 -1.036589 0.135345
     693 -0.505116 0.866162
     694 0.453828 0.893057
     695 1.027240 0.185383
     696 0.787673 -0.641087
     697 -0.099190 -0.995073
     698 -0.900528 -0.492333
     699 -0.973663 0.352914
     700 -0.268813 0.963418
     701 0.666736 0.756101
     702 1.046430 -0.036456
     703 0.600937 -0.805985
     704 -0.348904 -0.937815
     705 -1.000430 -0.282633
     706 -0.856326 0.557167
     707 -0.015148 0.999885
     708 0.839100 0.579885
     709 1.008606 -0.257064
     710 0.377157 -0.927055
     711 -0.576261 -0.822807
     712 -1.044928 -0.062673
     713 -0.689357 0.737096
     714 0.239506 0.971036
     715 0.962592 0.377875
     716 0.915084 -0.468453
     717 0.129289 -0.991619
     718 -0.767926 -0.662348
     719 -1.032463 0.159410
     720 -0.480681 0.879409
     721 0.478654 0.880472
     722 1.032093 0.161388
     723 0.769451 -0.660747
     724 -0.127004 -0.991913
     725 -0.914003 -0.470278
     726 -0.963460 0.375984
     727 -0.241742 0.970487
     728 0.687658 0.738559
     729 1.045070 -0.060680
     730 0.578155 -0.821550
     731 -0.375020 -0.927901
     732 -1.008011 -0.259012
     733 -0.840434 0.578169
     734 0.012845 0.999918
     735 0.855040 0.558906
     736 1.001078 -0.280694
     737 0.351063 -0.937025
     738 -0.599079 -0.807286
     739 -1.046344 -0.038450
     740 -0.668476 0.754675
     741 0.266593 0.964027
     742 0.972848 0.354819
     743 0.901661 -0.490527
     744 0.101482 -0.994842
     745 -0.786195 -0.642718
     746 -1.027664 0.183411
     747 -0.455885 0.892045
     748 0.503119 0.867275
     749 1.036275 0.137327
     750 0.750682 -0.680035
     751 -0.154718 -0.987983
     752 -0.926857 -0.447997
     753 -0.952614 0.398886
     754 -0.214483 0.976818
     755 0.708082 0.720570
     756 1.043033 -0.084881
     757 0.554945 -0.836576
     758 -0.400849 -0.917311
     759 -1.014930 -0.235283
     760 -0.823958 0.598869
     761 0.040828 0.999166
     762 0.870389 0.537641
     763 0.992891 -0.304205
     764 0.324700 -0.946305
     765 -0.621455 -0.791242
     766 -1.047081 -0.014212
     767 -0.647108 0.771791
     768 0.293473 0.956290
     769 0.982456 0.331605
     770 0.887622 -0.512363
     771 0.073596 -0.997289
     772 -0.803908 -0.622733
     773 -1.022195 0.207338
     774 -0.430743 0.904053
     775 0.527206 0.853482
     776 1.039782 0.113212
     777 0.731380 -0.698933
     778 -0.182312 -0.983287
     779 -0.939084 -0.425506
     780 -0.941129 0.421607
     781 -0.187058 0.982401
     782 0.727997 0.702152
     783 1.040318 -0.109048
     784 0.531322 -0.851044
     785 -0.426373 -0.906059
     786 -1.021184 -0.211457
     787 -0.806907 0.619251
     788 0.068780 0.997633
     789 0.885139 0.516104
     790 0.984048 -0.327586
     791 0.298087 -0.954882
     792 -0.643375 -0.774695
     793 -1.047139 0.010031
     794 -0.625269 0.788424
     795 0.320127 0.947835
     796 0.991413 0.308248
     797 0.872976 -0.533945
     798 0.045652 -0.998958
     799 -0.821057 -0.602408
     800 -1.016057 0.231180
     801 -0.405274 0.915417
     802 0.550899 0.839112
     803 1.042613 0.089052
     804 0.711554 -0.717423
     805 -0.209764 -0.977834
     806 -0.950678 -0.402818
     807 -0.929010 0.444133
     808 -0.159487 0.987227
     809 0.747391 0.683322
     810 1.036928 -0.133171
     811 0.507301 -0.864938
     812 -0.451572 -0.894161
     813 -1.026769 -0.187544
     814 -0.789290 0.639296
     815 0.096677 0.995319
     816 0.899283 0.494311
     817 0.974551 -0.350825
     818 0.271244 -0.962744
     819 -0.664825 -0.757661
     820 -1.046519 0.034270
     821 -0.602970 0.804556
     822 0.346535 0.938675
     823 0.999713 0.284758
     824 0.857730 -0.555259
     825 0.017673 -0.999844
     826 -0.837633 -0.581762
     827 -1.009252 0.254927
     828 -0.379496 0.926122
     829 0.574182 0.824181
     830 1.044767 0.064856
     831 0.691216 -0.735488
     832 -0.237053 -0.971632
     833 -0.961635 -0.379947
     834 -0.916264 0.466450
     835 -0.131792 0.991290
     836 0.766252 0.664101
     837 1.032863 -0.157242
     838 0.482900 -0.878239
     839 -0.476430 -0.881632
     840 -1.031683 -0.163555
     841 -0.771117 0.658989
     842 0.124499 0.992230
     843 0.912813 0.472276
     844 0.964407 -0.373910
     845 0.244191 -0.969880
     846 -0.685791 -0.740160
     847 -1.045221 0.058496
     848 -0.580228 0.820168
     849 0.372676 0.928823
     850 1.007355 0.261147
     851 0.841891 -0.576287
     852 -0.010320 -0.999947
     853 -0.853627 -0.560811
     854 -1.001785 0.278567
     855 -0.353428 0.936154
     856 0.597039 0.808708
     857 1.046244 0.040636
     858 0.670379 -0.753108
     859 -0.264158 -0.964689
     860 -0.971949 -0.356905
     861 -0.902897 0.488546
     862 -0.103993 0.994583
     863 0.784570 0.644504
     864 1.028125 -0.181249
     865 0.458136 -0.890931
     866 -0.500928 -0.868490
     867 -1.035925 -0.139500
     868 -0.752397 0.678311
     869 0.152224 0.988369
     870 0.925723 0.450016
     871 0.953618 -0.396828
     872 0.216949 -0.976277
     873 -0.706261 -0.722210
     874 -1.043244 0.082699
     875 -0.557055 0.835243
     876 0.398532 0.918294
     877 1.014334 0.237428
     878 0.825467 -0.597015
     879 -0.038305 -0.999266
     880 -0.869029 -0.539570
     881 -0.993657 0.302090
     882 -0.327089 0.945496
     883 0.619455 0.792710
     884 1.047042 0.016399
     885 0.649055 -0.770267
     886 -0.291058 -0.957017
     887 -0.981616 -0.333705
     888 -0.888914 0.510404
     889 -0.076114 0.997101
     890 0.802334 0.624549
     891 1.022716 -0.205183
     892 0.433024 -0.902996
     893 -0.525050 -0.854750
     894 -1.039493 -0.115389
     895 -0.733143 0.697245
     896 0.179829 0.983742
     897 0.938007 0.427543
     898 0.942191 -0.419565
     899 0.189538 -0.981928
     900 -0.726222 -0.703830
     901 -1.040591 0.106870
     902 -0.533469 0.849763
     903 0.424084 0.907101
     904 1.020647 0.213609
     905 0.808468 -0.617426
     906 -0.066261 -0.997803
     907 -0.883834 -0.518057
     908 -0.984872 0.325483
     909 -0.300497 0.954138
     910 0.641417 0.776207
     911 1.047162 -0.007844
     912 0.627257 -0.786944
     913 -0.317733 -0.948626
     914 -0.990632 -0.310360
     915 -0.874322 0.532009
     916 -0.048174 0.998839
     917 0.819534 0.604255
     918 1.016638 -0.229034
     919 0.407584 -0.914419
     920 -0.548779 -0.840431
     921 -1.042385 -0.091232
     922 -0.713363 0.715773
     923 0.207295 0.978357
     924 0.949659 0.404872
     925 0.930129 -0.442109
     926 0.161979 -0.986823
     927 -0.745664 -0.685037
     928 -1.037261 0.130998
     929 -0.509484 0.863709
     930 0.449313 0.895260
     931 1.026292 0.189704
     932 0.790902 -0.637502
     933 -0.094164 -0.995560
     934 -0.898032 -0.496286
     935 -0.975435 0.348736
     936 -0.273674 0.962065
     937 0.662910 0.759217
     938 1.046603 -0.032085
     939 0.605000 -0.803122
     940 -0.344164 -0.939530
     941 -0.998992 -0.286882
     942 -0.859130 0.553348
     943 -0.020197 0.999796
     944 0.836162 0.583637
     945 1.009893 -0.252789
     946 0.381833 -0.925184
     947 -0.572099 -0.825550
     948 -1.044601 -0.067040
     949 -0.693071 0.733877
     950 0.234599 0.972222
     951 0.960673 0.382017
     952 0.917440 -0.464447
